date,nav
2026-07-24,117.3538
2026-07-23,117.3418
2026-07-22,117.37
2026-07-21,117.4206
2026-07-20,117.3292
2026-07-17,117.3583
2026-07-16,117.3394
2026-07-15,117.2609
2026-07-14,117.2051
2026-07-13,117.4711
2026-07-10,117.4623
2026-07-09,117.3335
2026-07-08,117.3127
2026-07-07,117.5758
2026-07-06,117.6258
2026-07-03,117.583
2026-07-02,117.5476
2026-07-01,117.4079
2026-06-30,117.383
2026-06-29,117.6753
2026-06-25,117.4995
2026-06-24,117.3018
2026-06-23,117.2069
2026-06-22,117.1451
2026-06-19,117.0754
2026-06-18,117.0515
2026-06-17,116.9939
2026-06-16,116.991
2026-06-15,116.9544
2026-06-12,116.8151
2026-06-11,116.6905
2026-06-10,116.7825
2026-06-09,116.6967
2026-06-08,116.3972
2026-06-05,116.1747
2026-06-04,115.8459
2026-06-03,115.7797
2026-06-02,115.7981
2026-06-01,115.7275
2026-05-29,116.2067
2026-05-27,116.1248
2026-05-26,116.0622
2026-05-25,116.0562
2026-05-22,115.8622
2026-05-21,115.7936
2026-05-20,115.902
2026-05-19,115.9453
2026-05-18,115.8981
2026-05-15,116.1398
2026-05-14,116.2897
2026-05-13,116.2956
2026-05-12,116.3194
2026-05-11,116.3713
2026-05-08,116.4427
2026-05-07,116.45
2026-05-06,116.3702
2026-05-05,116.1618
2026-05-04,116.2038
2026-04-30,116.1107
2026-04-29,116.2093
2026-04-28,116.302
2026-04-27,116.34
2026-04-24,116.6862
2026-04-23,116.7487
2026-04-22,116.8402
2026-04-21,116.8398
2026-04-20,116.8286
2026-04-17,116.7674
2026-04-16,116.7829
2026-04-15,116.7764
2026-04-13,116.5772
2026-04-10,116.5597
2026-04-09,116.4698
2026-04-08,116.3326
2026-04-07,115.8868
2026-04-06,115.8003
2026-04-02,115.7636
2026-03-31,115.9089
2026-03-30,115.8871
2026-03-27,116.2881
2026-03-25,116.3565
2026-03-24,116.3681
2026-03-23,116.3954
2026-03-20,116.6822
2026-03-18,116.7488
2026-03-17,116.6784
2026-03-16,116.662
2026-03-13,116.6753
2026-03-12,116.7396
2026-03-11,116.8632
2026-03-10,116.8013
2026-03-09,116.6655
2026-03-06,116.792
2026-03-05,116.8065
2026-03-04,116.6977
2026-03-02,116.8191
2026-02-27,117.2687
2026-02-26,117.2484
2026-02-25,117.2228
2026-02-24,117.1772
2026-02-23,117.1175
2026-02-20,117.0373
2026-02-18,117.0947
2026-02-17,117.102
2026-02-16,117.0731
2026-02-13,116.986
2026-02-12,116.8513
2026-02-11,116.719
2026-02-10,116.6384
2026-02-09,116.632
2026-02-06,116.6257
2026-02-05,116.8171
2026-02-04,116.6578
2026-02-03,116.4976
2026-02-02,116.3473
2026-01-30,117.0035
2026-01-29,116.8994
2026-01-28,116.8922
2026-01-27,116.9158
2026-01-23,116.8827
2026-01-22,116.8587
2026-01-21,116.7417
2026-01-20,116.7361
2026-01-19,116.7741
2026-01-16,116.8128
2026-01-14,116.938
2026-01-13,117.0008
2026-01-12,117.1172
2026-01-09,117.0485
2026-01-08,117.037
2026-01-07,117.0324
2026-01-06,117.0825
2026-01-05,117.0666
2026-01-02,117.1554
2026-01-01,117.1723
2025-12-31,117.1425
2025-12-30,117.0325
2025-12-29,117.0986
2025-12-26,117.5359
2025-12-24,117.518
2025-12-23,117.2913
2025-12-22,117.3219
2025-12-19,117.3392
2025-12-18,117.317
2025-12-17,117.3246
2025-12-16,117.3241
2025-12-15,117.2903
2025-12-12,117.3658
2025-12-11,117.3612
2025-12-10,117.3459
2025-12-09,117.4937
2025-12-08,117.648
2025-12-05,117.6559
2025-12-04,117.5469
2025-12-03,117.5482
2025-12-02,117.5467
2025-12-01,117.5212
2025-11-28,118.0708
2025-11-27,118.0845
2025-11-26,118.0754
2025-11-25,117.9969
2025-11-24,117.9323
2025-11-21,117.8666
2025-11-20,117.8852
2025-11-19,117.8734
2025-11-18,117.8127
2025-11-17,117.7647
2025-11-14,117.7614
2025-11-13,117.7809
2025-11-12,117.7851
2025-11-11,117.749
2025-11-10,117.7105
2025-11-07,117.6419
2025-11-06,117.6127
2025-11-04,117.5703
2025-11-03,117.5282
2025-10-31,118.0612
2025-10-30,118.0346
2025-10-29,118.079
2025-10-28,118.022
2025-10-27,117.9919
2025-10-24,117.9433
2025-10-23,117.9589
2025-10-20,117.9952
2025-10-17,117.9617
2025-10-16,117.8849
2025-10-15,117.8444
2025-10-14,117.7727
2025-10-13,117.7377
2025-10-10,117.6397
2025-10-09,117.6122
2025-10-08,117.6043
2025-10-07,117.5528
2025-10-06,117.4323
2025-10-03,117.2886
2025-10-01,117.148
2025-09-30,117.0524
2025-09-26,117.515
2025-09-25,117.4639
2025-09-24,117.4303
2025-09-23,117.4139
2025-09-22,117.3515
2025-09-19,117.2755
2025-09-18,117.2889
2025-09-17,117.2874
2025-09-16,117.2062
2025-09-15,117.2078
2025-09-12,117.2298
2025-09-11,117.1957
2025-09-10,117.1832
2025-09-09,117.1772
2025-09-05,117.0616
2025-09-04,116.9457
2025-09-03,116.8476
2025-09-02,116.8061
2025-09-01,116.837
2025-08-29,117.5059
2025-08-28,117.5453
2025-08-26,117.3946
2025-08-25,117.5872
2025-08-22,117.5937
2025-08-21,117.5815
2025-08-20,117.5722
2025-08-19,117.4834
2025-08-18,117.6127
2025-08-14,117.6423
2025-08-13,117.4637
2025-08-12,117.5277
2025-08-11,117.6939
2025-08-08,117.7709
2025-08-07,117.7584
2025-08-06,117.7087
2025-08-05,117.9544
2025-08-04,117.9481
2025-08-01,117.7956
2025-07-31,117.7102
2025-07-30,117.6656
2025-07-29,117.6732
2025-07-28,117.713
2025-07-25,118.2305
2025-07-24,118.2951
2025-07-23,118.2628
2025-07-22,118.2302
2025-07-21,118.2028
2025-07-18,118.1408
2025-07-17,118.0436
2025-07-16,117.9766
2025-07-15,117.9724
2025-07-14,117.9721
2025-07-11,117.9183
2025-07-10,117.8968
2025-07-09,117.8964
2025-07-08,117.9263
2025-07-07,117.9312
2025-07-04,117.8464
2025-07-03,117.8557
2025-07-02,117.7601
2025-07-01,117.6451
2025-06-30,117.5514
2025-06-27,117.9978
2025-06-26,118.0124
2025-06-25,118.0233
2025-06-24,118.0917
2025-06-23,117.9647
2025-06-20,117.9435
2025-06-19,117.9525
2025-06-18,118.0898
2025-06-17,118.0819
2025-06-16,117.9439
2025-06-13,117.8548
2025-06-12,117.992
2025-06-11,118.0594
2025-06-10,118.1671
2025-06-09,118.435
2025-06-06,118.5702
2025-06-05,118.3199
2025-06-04,118.2823
2025-06-03,118.2686
2025-06-02,118.2421
2025-05-30,118.8584
2025-05-29,118.8929
2025-05-28,118.8862
2025-05-27,118.8318
2025-05-26,118.8195
2025-05-23,118.744
2025-05-22,118.7063
2025-05-21,118.6716
2025-05-20,118.4496
2025-05-19,118.328
2025-05-16,118.209
2025-05-15,118.0287
2025-05-14,117.9013
2025-05-13,117.7644
2025-05-09,117.3369
2025-05-08,117.4117
2025-05-07,117.6457
2025-05-06,117.5904
2025-05-05,117.6308
2025-05-02,117.5339
2025-04-30,117.5007
2025-04-29,117.4962
2025-04-28,117.4068
2025-04-25,117.8871
2025-04-24,117.9428
2025-04-23,117.9568
2025-04-22,117.8803
2025-04-21,117.7795
2025-04-17,117.6058
2025-04-16,117.4667
2025-04-15,117.3689
2025-04-11,117.2479
2025-04-09,117.1131
2025-04-08,116.9854
2025-04-07,116.9961
2025-04-04,116.9779
2025-04-03,116.9046
2025-04-02,116.7518
2025-03-31,116.2887
2025-03-28,116.8038
2025-03-27,116.5705
2025-03-26,116.3908
2025-03-25,116.2657
2025-03-24,116.2165
2025-03-21,116.1136
2025-03-20,116.0092
2025-03-19,115.8968
2025-03-18,115.7678
2025-03-17,115.7119
2025-03-13,115.6149
2025-03-12,115.573
2025-03-11,115.5391
2025-03-10,115.504
2025-03-07,115.461
2025-03-06,115.4429
2025-03-05,115.3745
2025-03-04,115.3527
2025-03-03,115.3476
2025-02-28,115.8818
2025-02-27,115.9051
2025-02-25,115.9678
2025-02-24,115.9587
2025-02-21,115.8889
2025-02-20,115.874
2025-02-18,115.8523
2025-02-17,115.8237
2025-02-14,115.7747
2025-02-13,115.7552
2025-02-12,115.7457
2025-02-11,115.764
2025-02-10,115.7223
2025-02-07,115.707
2025-02-06,115.7714
2025-02-05,115.6964
2025-02-04,115.6077
2025-02-03,115.6059
2025-01-31,116.225
2025-01-30,116.2025
2025-01-29,116.1615
2025-01-28,116.1525
2025-01-27,116.112
2025-01-24,115.9776
2025-01-23,115.9583
2025-01-22,115.9574
2025-01-21,115.9022
2025-01-20,115.8336
2025-01-17,115.749
2025-01-16,115.7349
2025-01-15,115.5885
2025-01-14,115.5344
2025-01-13,115.5032
2025-01-10,115.6157
2025-01-09,115.6022
2025-01-08,115.6217
2025-01-07,115.6331
2025-01-06,115.5751
2025-01-03,115.4969
2025-01-02,115.4605
2025-01-01,115.4562
2024-12-31,115.4436
2024-12-30,115.4068
2024-12-27,115.9189
2024-12-26,115.8826
2024-12-24,115.849
2024-12-23,115.8728
2024-12-20,115.7967
2024-12-19,115.799
2024-12-18,115.8819
2024-12-17,115.8521
2024-12-16,115.8669
2024-12-13,115.8113
2024-12-12,115.8055
2024-12-11,115.8176
2024-12-10,115.7961
2024-12-09,115.7548
2024-12-06,115.6875
2024-12-05,115.7552
2024-12-04,115.7045
2024-12-03,115.6109
2024-12-02,115.5787
2024-11-29,116.0848
2024-11-28,115.9775
2024-11-27,115.946
2024-11-26,115.9625
2024-11-25,115.9475
2024-11-22,115.8513
2024-11-21,115.8776
2024-11-19,115.8682
2024-11-18,115.8344
2024-11-14,115.7402
2024-11-13,115.7668
2024-11-12,115.7691
2024-11-11,115.7608
2024-11-08,115.6994
2024-11-07,115.6301
2024-11-06,115.5918
2024-11-05,115.5912
2024-11-04,115.5767
2024-10-31,115.4992
2024-10-30,115.4848
2024-10-29,115.4172
2024-10-28,115.3755
2024-10-25,115.9562
2024-10-24,115.9379
2024-10-23,115.8945
2024-10-22,115.8442
2024-10-21,115.8967
2024-10-18,115.8752
2024-10-17,115.9123
2024-10-16,115.9158
2024-10-15,115.9157
2024-10-14,115.8783
2024-10-11,115.7791
2024-10-10,115.7549
2024-10-09,115.726
2024-10-08,115.5488
2024-10-07,115.48
2024-10-04,115.4552
2024-10-03,115.5434
2024-10-01,115.5607
2024-09-30,115.4545
2024-09-27,115.9758
2024-09-26,115.9971
2024-09-25,115.9062
2024-09-24,115.8348
2024-09-23,115.81
2024-09-20,115.7076
2024-09-19,115.6555
2024-09-17,115.5289
2024-09-16,115.5271
2024-09-13,115.4135
2024-09-12,115.3329
2024-09-11,115.2988
2024-09-10,115.2327
2024-09-09,115.2073
2024-09-06,115.1509
2024-09-05,115.1415
2024-09-04,115.1085
2024-09-03,115.0625
2024-09-02,115.0328
2024-08-30,115.7045
2024-08-29,115.7472
2024-08-28,115.7163
2024-08-27,115.6715
2024-08-26,115.6442
2024-08-23,115.5815
2024-08-22,115.5522
2024-08-21,115.5152
2024-08-20,115.4861
2024-08-19,115.4389
2024-08-16,115.3624
2024-08-14,115.3436
2024-08-13,115.2988
2024-08-12,115.2694
2024-08-09,115.2257
2024-08-08,115.2013
2024-08-07,115.1918
2024-08-06,115.1595
2024-08-05,115.1605
2024-08-02,115.0131
2024-08-01,114.9636
2024-07-31,114.9259
2024-07-30,114.9243
2024-07-29,114.927
2024-07-26,115.3902
2024-07-25,115.3105
2024-07-24,115.2215
2024-07-23,115.1841
2024-07-22,115.1816
2024-07-19,115.13
2024-07-18,115.0965
2024-07-16,115.0311
2024-07-15,114.954
2024-07-12,114.86
2024-07-11,114.8529
2024-07-10,114.829
2024-07-09,114.8019
2024-07-08,114.7717
2024-07-05,114.6951
2024-07-04,114.6583
2024-07-03,114.6216
2024-07-02,114.5789
2024-07-01,114.5299
2024-06-30,115.0833
2024-06-28,115.041
2024-06-27,114.9751
2024-06-26,114.9537
2024-06-25,114.9776
2024-06-24,114.9691
2024-06-21,114.9015
2024-06-20,114.8584
2024-06-19,114.8255
2024-06-18,114.7738
2024-06-14,114.6837
2024-06-13,114.6465
2024-06-12,114.5818
2024-06-11,114.5574
2024-06-10,114.4884
2024-06-07,114.4249
2024-06-06,114.3839
2024-06-05,114.2765
2024-06-04,114.2118
2024-06-03,114.4944
2024-05-31,115.0457
2024-05-30,115.016
2024-05-29,114.98
2024-05-28,114.9982
2024-05-27,115.002
2024-05-24,114.9531
2024-05-22,114.8736
2024-05-21,114.7911
2024-05-17,114.6627
2024-05-16,114.673
2024-05-15,114.577
2024-05-14,114.4899
2024-05-13,114.4526
2024-05-10,114.3883
2024-05-09,114.3512
2024-05-08,114.3422
2024-05-07,114.3489
2024-05-06,114.336
2024-05-03,114.1662
2024-05-02,114.1105
2024-04-30,114.046
2024-04-29,114.0069
2024-04-26,114.5338
2024-04-25,114.5227
2024-04-24,114.529
2024-04-23,114.527
2024-04-22,114.4476
2024-04-19,114.34
2024-04-18,114.4434
2024-04-16,114.3945
2024-04-15,114.434
2024-04-12,114.3403
2024-04-10,114.4677
2024-04-08,114.3448
2024-04-05,114.3876
2024-04-04,114.3912
2024-04-03,114.3491
2024-04-02,114.313
2024-03-31,114.3157
2024-03-28,114.9981
2024-03-27,114.8024
2024-03-26,114.7464
2024-03-22,114.7283
2024-03-21,114.7614
2024-03-20,114.6874
2024-03-19,114.6515
2024-03-18,114.6828
2024-03-15,114.6701
2024-03-14,114.6573
2024-03-13,114.6684
2024-03-12,114.6626
2024-03-11,114.6577
2024-03-07,114.4936
2024-03-06,114.4471
2024-03-05,114.382
2024-03-04,114.3699
2024-03-01,114.3073
2024-02-29,114.2944
2024-02-28,114.2797
2024-02-27,114.2357
2024-02-26,114.2372
2024-02-23,114.6798
2024-02-22,114.6699
2024-02-21,114.6443
2024-02-20,114.5959
2024-02-16,114.4438
2024-02-15,114.4272
2024-02-14,114.3401
2024-02-13,114.3697
2024-02-12,114.3657
2024-02-09,114.3015
2024-02-08,114.3391
2024-02-07,114.3401
2024-02-06,114.2931
2024-02-05,114.2711
2024-02-02,114.2926
2024-02-01,114.1723
2024-01-31,113.9805
2024-01-30,113.9379
2024-01-29,114.568
2024-01-25,114.4766
2024-01-24,114.4544
2024-01-23,114.4518
2024-01-19,114.3544
2024-01-18,114.3604
2024-01-17,114.3552
2024-01-16,114.3471
2024-01-15,114.3452
2024-01-12,114.2116
2024-01-11,114.1581
2024-01-10,114.1495
2024-01-09,114.1142
2024-01-08,114.0786
2024-01-05,113.965
2024-01-04,113.9792
2024-01-03,113.9755
2024-01-02,113.974
2024-01-01,113.968
2023-12-29,114.6697
2023-12-28,114.5821
2023-12-27,114.5739
2023-12-26,114.5852
2023-12-22,114.4829
2023-12-21,114.4636
2023-12-20,114.4608
2023-12-19,114.4432
2023-12-18,114.447
2023-12-15,114.366
2023-12-14,114.2451
2023-12-13,114.0794
2023-12-12,114.0419
2023-12-11,114.0248
2023-12-08,114.0014
2023-12-07,114.0049
2023-12-06,113.9756
2023-12-05,113.9138
2023-12-04,113.8842
2023-12-01,113.7996
2023-11-30,113.8184
2023-11-29,113.8311
2023-11-28,113.7679
2023-11-24,114.2654
2023-11-23,114.3002
2023-11-22,114.3118
2023-11-21,114.2629
2023-11-20,114.3285
2023-11-17,114.3207
2023-11-16,114.2756
2023-11-15,114.2354
2023-11-13,114.0945
2023-11-10,114.0288
2023-11-09,114.0667
2023-11-08,114.0161
2023-11-07,113.9676
2023-11-06,113.9139
2023-11-03,113.8392
2023-11-02,113.7811
