amfi_code,CAGR_1Y,CAGR_3Y,CAGR_5Y
119094,22.26,35.07,28.19
148567,20.36,33.97,30.95
120504,13.06,32.45,23.28
100033,53.23,32.41,30.1
120505,29.6,31.74,32.8
119551,60.44,30.42,25.78
120843,26.66,29.55,30.88
148569,39.75,29.15,31.92
101206,47.92,28.94,23.52
149324,65.14,26.97,32.26
149323,21.48,26.84,29.56
119598,82.78,26.64,32.4
102887,13.58,25.53,16.83
118632,33.98,22.63,24.03
118633,25.54,21.07,16.26
119093,19.77,20.8,7.89
118635,22.49,19.99,15.95
102885,20.21,19.65,18.22
125497,28.68,18.42,19.0
120506,41.82,18.4,17.07
149322,18.11,18.03,13.38
120841,16.84,17.25,13.52
119552,5.71,16.25,21.51
148568,14.27,14.73,22.5
120503,8.49,13.96,18.77
125498,15.44,11.23,11.29
118634,15.81,8.0,16.36
120842,22.5,7.75,6.7
120507,7.43,7.39,7.23
120844,7.12,6.69,6.91
101208,7.24,6.31,6.5
119120,5.52,5.83,5.89
118636,10.45,4.06,5.31
100025,3.7,3.91,4.46
100016,-2.22,1.29,2.64
119092,1.61,0.53,6.36
102886,-16.8,-0.77,1.17
119599,13.95,-1.34,2.05
101207,-23.99,-4.15,7.93
119095,-42.8,-11.7,1.52
