amfi_code,CAGR_1Y,CAGR_3Y,CAGR_5Y,Sharpe Ratio,Sortino Ratio,Alpha,Maximum Drawdown (%)
148567,20.36,33.97,30.95,1.41,2.33,1.620000000000001,-11.27
120843,26.66,29.55,30.88,1.28,2.31,1.85,-12.97
148569,39.75,29.15,31.92,1.21,2.1,0.5400000000000009,-16.4
119551,60.44,30.42,25.78,1.17,2.08,0.8699999999999992,-15.01
120505,29.6,31.74,32.8,1.15,1.98,0.889999999999997,-18.19
149323,21.48,26.84,29.56,1.1,1.83,1.0199999999999996,-17.25
100033,53.23,32.41,30.1,1.07,1.78,0.9499999999999976,-16.22
118632,33.98,22.63,24.03,1.05,1.79,0.8599999999999994,-17.41
101206,47.92,28.94,23.52,0.99,1.74,1.34,-11.29
120504,13.06,32.45,23.28,0.99,1.74,0.8800000000000008,-12.59
119094,22.26,35.07,28.19,0.97,1.66,1.42,-20.96
149324,65.14,26.97,32.26,0.93,1.59,0.6899999999999977,-31.17
119598,82.78,26.64,32.4,0.93,1.64,1.2300000000000004,-28.71
119552,5.71,16.25,21.51,0.92,1.55,1.7800000000000011,-11.8
148568,14.27,14.73,22.5,0.89,1.58,1.700000000000001,-15.27
102885,20.21,19.65,18.22,0.78,1.37,0.9299999999999996,-10.86
120503,8.49,13.96,18.77,0.76,1.28,0.6599999999999984,-13.9
125497,28.68,18.42,19.0,0.74,1.27,1.1300000000000008,-15.2
118635,22.49,19.99,15.95,0.63,1.07,1.799999999999999,-11.65
120506,41.82,18.4,17.07,0.62,1.04,0.5499999999999989,-19.83
118633,25.54,21.07,16.26,0.61,1.09,1.6999999999999993,-18.63
102887,13.58,25.53,16.83,0.59,1.03,1.7899999999999991,-21.54
120841,16.84,17.25,13.52,0.46,0.8,1.2699999999999996,-17.57
149322,18.11,18.03,13.38,0.43,0.7,1.8200000000000005,-14.84
118634,15.81,8.0,16.36,0.43,0.71,0.7999999999999972,-23.34
125498,15.44,11.23,11.29,0.27,0.46,0.8999999999999986,-21.12
101207,-23.99,-4.15,7.93,0.14,0.24,1.84,-35.45
119093,19.77,20.8,7.89,0.09,0.16,1.4299999999999995,-21.75
120842,22.5,7.75,6.7,0.05,0.08,1.91,-24.0
119092,1.61,0.53,6.36,-0.01,-0.01,1.41,-14.4
119599,13.95,-1.34,2.05,-0.08,-0.13,1.129999999999999,-52.57
119095,-42.8,-11.7,1.52,-0.1,-0.16,0.5100000000000016,-51.68
102886,-16.8,-0.77,1.17,-0.23,-0.39,1.1199999999999992,-28.0
100016,-2.22,1.29,2.64,-0.24,-0.41,0.7799999999999994,-24.73
119120,5.52,5.83,5.89,-0.35,-0.59,1.6000000000000003,-4.33
118636,10.45,4.06,5.31,-0.48,-0.83,0.8899999999999997,-8.32
120507,7.43,7.39,7.23,-0.52,-1.1,1.85,-0.1
100025,3.7,3.91,4.46,-0.7,-1.15,1.9800000000000004,-4.31
120844,7.12,6.69,6.91,-1.06,-2.25,1.5199999999999996,-0.12
101208,7.24,6.31,6.5,-1.8,-3.72,1.1799999999999995,-0.16
