amfi_code,Maximum Drawdown (%)
119599,-52.57
119095,-51.68
101207,-35.45
149324,-31.17
119598,-28.71
102886,-28.0
100016,-24.73
120842,-24.0
118634,-23.34
119093,-21.75
102887,-21.54
125498,-21.12
119094,-20.96
120506,-19.83
118633,-18.63
120505,-18.19
120841,-17.57
118632,-17.41
149323,-17.25
148569,-16.4
100033,-16.22
148568,-15.27
125497,-15.2
119551,-15.01
149322,-14.84
119092,-14.4
120503,-13.9
120843,-12.97
120504,-12.59
119552,-11.8
118635,-11.65
101206,-11.29
148567,-11.27
102885,-10.86
118636,-8.32
119120,-4.33
100025,-4.31
101208,-0.16
120844,-0.12
120507,-0.1
