amfi_code,HHI,concentration_flag
119092,2967.6908999999996,High Concentration
148569,2549.9193999999998,High Concentration
125498,2531.55,High Concentration
102887,2513.8255,High Concentration
149323,2410.7663999999995,Normal
120505,2386.9504,Normal
118635,2374.9677,Normal
119599,2323.612,Normal
120506,2314.6434,Normal
100033,2276.4744,Normal
119552,2275.0834999999997,Normal
101207,2227.2651,Normal
120504,2212.1303,Normal
118633,2212.0032,Normal
148568,2180.8585,Normal
120841,2158.9314999999997,Normal
118632,2072.5894,Normal
148567,2012.4815,Normal
149324,1887.0082,Normal
119598,1880.8485,Normal
119093,1842.332,Normal
149322,1826.9533000000001,Normal
120503,1821.6750000000002,Normal
102885,1807.1201999999998,Normal
100016,1805.8807999999997,Normal
101206,1800.4225,Normal
119094,1751.0025,Normal
125497,1724.1088,Normal
120842,1620.6189,Normal
118634,1602.9924,Normal
119095,1595.8229000000001,Normal
119551,1424.9103999999998,Normal
120843,1362.0616,Normal
102886,1240.2024000000001,Normal
