amfi_code,sector_hhi,sector_hhi_10000,scheme_name,fund_house,category,category_clean
100016,0.18058807999999998,1805.8808,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Large Cap,large cap
100033,0.22764743999999998,2276.4743999999996,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap,mid cap
101206,0.18004225000000004,1800.4225000000004,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap,large cap
101207,0.22272651000000002,2227.2651,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Small Cap,small cap
102885,0.18071201999999997,1807.1201999999998,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Index,index
102886,0.12402024,1240.2024000000001,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Mid Cap,mid cap
102887,0.25138255,2513.8255,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Flexi Cap,flexi cap
118632,0.20725894,2072.5894,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Large Cap,large cap
118633,0.22120032000000003,2212.0032000000006,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Large Cap,large cap
118634,0.16029924,1602.9924,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Small Cap,small cap
118635,0.23749677,2374.9677,Nippon India ETF Nifty 50 BeES,Nippon India MF,Index/ETF,index/etf
119092,0.29676909,2967.6909,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Large Cap,large cap
119093,0.1842332,1842.332,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Large Cap,large cap
119094,0.17510025,1751.0025,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap,mid cap
119095,0.15958229000000002,1595.8229000000001,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Small Cap,small cap
119551,0.14249103999999999,1424.9103999999998,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Large Cap,large cap
119552,0.22750834999999997,2275.0834999999997,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Large Cap,large cap
119598,0.18808485000000003,1880.8485000000003,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,small cap
119599,0.23236120000000002,2323.612,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,small cap
120503,0.18216749999999998,1821.6749999999997,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Large Cap,large cap
120504,0.22121302999999998,2212.1303,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,large cap
120505,0.23869504,2386.9504,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,mid cap
120506,0.23146434000000002,2314.6434000000004,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Value,value
120841,0.21589315000000003,2158.9315,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Large Cap,large cap
120842,0.16206189,1620.6189,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Mid Cap,mid cap
120843,0.13620616000000002,1362.0616000000002,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,flexi cap
125497,0.17241088,1724.1088,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap,large cap
125498,0.253155,2531.55,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Mid Cap,mid cap
148567,0.20124815,2012.4814999999999,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,large cap
148568,0.21808584999999997,2180.8585,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Large & Mid Cap,large & mid cap
148569,0.25499194,2549.9193999999998,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS,elss
149322,0.18269533000000002,1826.9533000000001,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Large Cap,large cap
149323,0.24107664,2410.7664,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap,mid cap
149324,0.18870081999999994,1887.0081999999993,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap,small cap
