amfi_code,Annual Return (%),Annual Risk (%),Sharpe Ratio
148567,27.06,14.19,1.41
120843,27.26,15.89,1.28
148569,28.33,17.67,1.21
119551,23.1,13.74,1.17
120505,29.27,19.29,1.15
149323,26.59,17.75,1.1
100033,27.21,18.94,1.07
118632,21.8,14.15,1.05
101206,21.46,14.57,0.99
120504,21.24,14.36,0.99
119094,25.87,19.41,0.97
149324,30.09,24.84,0.93
119598,30.27,25.14,0.93
119552,19.79,13.94,0.92
148568,20.79,15.43,0.89
102885,16.99,12.84,0.78
120503,17.58,13.88,0.76
125497,17.88,14.67,0.74
118635,15.13,12.98,0.63
120506,16.38,15.23,0.62
118633,15.53,14.0,0.61
102887,16.26,15.76,0.59
120841,13.15,13.46,0.46
118634,17.82,25.24,0.43
149322,13.16,14.35,0.43
125498,12.02,18.35,0.27
101207,10.7,25.8,0.14
119093,8.31,13.98,0.09
120842,7.86,17.89,0.05
119092,6.93,13.95,-0.01
119599,5.07,24.95,-0.08
119095,4.6,25.07,-0.1
102886,2.77,18.13,-0.23
100016,3.57,14.55,-0.24
119120,5.6,3.97,-0.35
118636,5.08,3.99,-0.48
120507,6.74,0.49,-0.52
100025,4.29,3.91,-0.7
120844,6.45,0.51,-1.06
101208,6.09,0.51,-1.8
