amfi_code,Annual Return (%),Downside Risk (%),Sortino Ratio
148567,27.06,8.62,2.33
120843,27.26,8.78,2.31
148569,28.33,10.17,2.1
119551,23.1,7.76,2.08
120505,29.27,11.22,1.98
149323,26.59,10.71,1.83
118632,21.8,8.27,1.79
100033,27.21,11.32,1.78
101206,21.46,8.32,1.74
120504,21.24,8.17,1.74
119094,25.87,11.37,1.66
119598,30.27,14.19,1.64
149324,30.09,14.57,1.59
148568,20.79,8.75,1.58
119552,19.79,8.25,1.55
102885,16.99,7.31,1.37
120503,17.58,8.28,1.28
125497,17.88,8.55,1.27
118633,15.53,7.82,1.09
118635,15.13,7.59,1.07
120506,16.38,9.02,1.04
102887,16.26,8.97,1.03
120841,13.15,7.72,0.8
118634,17.82,15.17,0.71
149322,13.16,8.74,0.7
125498,12.02,10.84,0.46
101207,10.7,15.17,0.24
119093,8.31,8.2,0.16
120842,7.86,10.91,0.08
119092,6.93,8.17,-0.01
119599,5.07,15.12,-0.13
119095,4.6,14.86,-0.16
102886,2.77,10.75,-0.39
100016,3.57,8.35,-0.41
119120,5.6,2.39,-0.59
118636,5.08,2.32,-0.83
120507,6.74,0.23,-1.1
100025,4.29,2.35,-1.15
120844,6.45,0.24,-2.25
101208,6.09,0.25,-3.72
