amfi_code,observations,VaR_95_pct,CVaR_95_pct,scheme_name,fund_house,category,risk_grade
119599,1149,-2.685943514961382,-3.238412245049217,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,Very High
119095,1149,-2.618842440959035,-3.166729360598028,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Small Cap,Very High
101207,1149,-2.6021248221061066,-3.245905898704435,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Small Cap,Very High
118634,1149,-2.543811145896311,-3.2304072697818533,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Small Cap,Very High
119598,1149,-2.45070519056771,-3.059526410880242,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,Very High
149324,1149,-2.3483069386777156,-3.103625202188441,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap,Very High
102886,1149,-1.922028344426503,-2.325086026922121,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Mid Cap,High
100033,1149,-1.9033535861558826,-2.3455762770703794,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap,High
120505,1149,-1.889178619869274,-2.434207039551981,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,High
119094,1149,-1.8480276243938307,-2.426005947837057,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap,High
125498,1149,-1.8365320169601018,-2.309379305316794,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Mid Cap,High
120842,1149,-1.8218530452556079,-2.2724975262680878,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Mid Cap,High
149323,1149,-1.7882076201903474,-2.2606642100420333,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap,High
148569,1149,-1.7118192655621134,-2.1328305810328105,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS,High
102887,1149,-1.5231617279157872,-1.9411182679158694,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Flexi Cap,Moderately High
148568,1149,-1.4711531333512795,-1.876476958423089,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Large & Mid Cap,Moderately High
125497,1149,-1.459176907114046,-1.830988532805791,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap,Moderate
120843,1149,-1.4507941385630474,-1.8381077688017156,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,Moderately High
149322,1149,-1.447385198379274,-1.8401747612732604,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Large Cap,Moderate
120506,1149,-1.4388462899080912,-1.940489860249691,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Value,Moderately High
100016,1149,-1.4363639988111143,-1.806020763217176,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Large Cap,Moderate
119093,1149,-1.4225516634796054,-1.7486709749013059,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Large Cap,Moderate
118632,1149,-1.3954045870018117,-1.7618579320162155,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Large Cap,Moderate
119092,1149,-1.3749592076363815,-1.7327870956436053,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Large Cap,Moderate
120504,1149,-1.3728193295939772,-1.7494143685606607,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,Moderate
148567,1149,-1.355977641751056,-1.7622879905822204,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,Moderate
120503,1149,-1.355001716250348,-1.745055416552432,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Large Cap,Moderate
119552,1149,-1.3500970479935082,-1.7335699664199813,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Large Cap,Moderate
118633,1149,-1.3442525143024242,-1.6630178254004826,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Large Cap,Moderate
101206,1149,-1.328166198628149,-1.7439425687129195,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap,Moderate
120841,1149,-1.3141782186804063,-1.636273661834337,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Large Cap,Moderate
119551,1149,-1.284622862884257,-1.639680693408763,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Large Cap,Moderate
102885,1149,-1.261262882069356,-1.549040525311211,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Index,Moderate
118635,1149,-1.2553697284754661,-1.617696049480912,Nippon India ETF Nifty 50 BeES,Nippon India MF,Index/ETF,Moderate
119120,1149,-0.3938283121850805,-0.5013693153022244,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Gilt,Low
